,team,value
15,Southampton,4.915000000000001
8,Leeds,4.889473684210526
1,Aston Villa,4.705555555555557
18,West Ham,4.680952380952381
4,Chelsea,4.440909090909091
19,Wolves,4.389999999999999
16,Spurs,4.181818181818182
5,Crystal Palace,3.94
2,Brighton,3.7047619047619045
9,Leicester,3.6454545454545455
0,Arsenal,3.4714285714285715
13,Newcastle,3.4428571428571435
17,West Brom,3.3047619047619046
3,Burnley,3.2
10,Liverpool,3.1750000000000007
11,Man City,3.136363636363637
7,Fulham,3.0043478260869563
6,Everton,2.9208333333333343
12,Man Utd,2.804545454545455
14,Sheffield Utd,2.576190476190477
