,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
283,Bamford,Leeds,4,36.2,61,940,3272891,11.5,70,Forward,11.5
427,Wilson,Newcastle,4,14.3,66,787,1743373,10.2,67,Forward,10.2
197,Calvert-Lewin,Everton,4,62.0,80,968,4472517,9.8,78,Forward,9.8
491,Kane,Spurs,4,39.8,109,983,2890002,9.0,98,Forward,9.0
474,Adams,Southampton,4,7.6,60,945,644127,8.7,52,Forward,8.7
61,Watkins,Aston Villa,4,8.1,61,810,1024779,8.0,49,Forward,8.0
253,Vardy,Leicester,4,29.9,103,828,2243157,7.2,74,Forward,7.2
77,Maupay,Brighton,4,2.4,62,759,608916,6.5,40,Forward,6.5
464,Ings,Southampton,4,5.5,83,669,721004,6.3,52,Forward,6.3
138,Werner,Chelsea,4,22.9,95,933,1294919,5.8,55,Forward,5.8
